sr_no;id_number; reference_number; sender_name; sender_address_line1;sender_address_line2;sender_address_line3; sender_contact; recipient_name; recipient_address_line1;recipient_address_line2;recipient_address_line3; recipient_contact;estimated_days; from_branch_id; to_branch_id; price;date_and_time;delivery_status;transporter;
50043;2001223; Zaitra Vasa;4; Bumb Road; Kirari Suleman Nagar 150552; +91 8127108512; Gayathri Verma; 38/15; Misra Ganj; Alappuzha 088508; +91 8107696243;2;21;43;6300; 2022-07-06 21:15:48;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50044;2001224; Jeremiah Shroff;272; Sarkar Zila; Faridabad-941269; +91 8046752709; Anya Nadkarni; H.No. 510; Mitter Nagar; Bikaner-147633; +91 7136109915;1;34;119;234; 2022-07-06 21:13:54;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50045;2001225; Kala Varty; 13/034; Guha Nagar; Pallavaram 450672; +91 9630638367; Wahab Dash;632; Balan Path; Jaipur 308817; +91 6694989822;1;7;95;2289; 2022-07-06 08:48:21;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;;
50046;2001226; Sanya Mand; 74/29; Kata Circle; Aurangabad-255209; +91 8772650869; Pallavi Prashad; H.No. 65; Mani; Berhampur-390597; +91 6189699444;2;52;92;4146; 2022-07-06 06:40:31;delivered;Global Express Logistics Pvt. Ltd. - Bengaluru, Karnataka;;
50047;2001227; Yug Lad; H.No. 231; Batta Path; Tenali 610535; +91 8549247626; Yash Tank; H.No. 34; Sarin Chowk; Ajmer-500279; +91 7651815027;2;34;72;2822; 2022-07-06 04:36:40;delivered;Global Express Logistics Pvt. Ltd. - Bengaluru, Karnataka;;
50048;2001228; Sanaya Purohit;42; Lalla Chowk; Varanasi-121219; +91 9867894567; Yamini Goswami; H.No. 979; Buch Marg; Jamalpur-083335; +91 9449336336;1;88;2;6029; 2022-07-06 01:39:12;delivered;Global Express Logistics Pvt. Ltd. - Bengaluru, Karnataka;;
50049;2001229; Nikita Prabhakar;413; Vohra Ganj; Guna 814361; +91 7761900597; Oviya Shenoy; 97/74; Butala Marg; Tezpur-557841; +91 9653043639;1;123;139;3712; 2022-07-06 00:44:44;delivered;Global Express Logistics Pvt. Ltd. - Bengaluru, Karnataka;;
50050;2001230; Radha Dyal; H.No. 26; Khosla Nagar; Nashik-912071; +91 6847669657; Harish Walla; H.No. 91; Kapadia Nagar; Bhopal 011155; +91 7506078500;2;54;135;3309; 2022-07-05 21:53:55;delivered;Global Express Logistics Pvt. Ltd. - Bengaluru, Karnataka;;
50051;2001231; Utkarsh Mitter;327; Iyer Chowk; Durg 774632; +91 8607430215; Jeremiah Jani; H.No. 192; Kata Marg; Meerut-048051; +91 8825523396;1;21;73;395; 2022-07-05 05:07:24;delivered;Global Express Logistics Pvt. Ltd. - Bengaluru, Karnataka;;
50052;2001232; Henry Shanker; H.No. 31; Padmanabhan Circle; Anand-184021; +91 7417415656; Henry Pradhan;98; Ramaswamy Road; Raurkela Industrial Township 993761; +91 7376773008;2;90;130;1958; 2022-07-04 19:33:37;delivered;Global Express Logistics Pvt. Ltd. - Bengaluru, Karnataka;;
50053;2001233; Pratyush Natarajan; 33/538; Verma Nagar; Bahraich-132968; +91 7985177756; Anvi Iyengar; H.No. 52; Varghese Path; Vadodara-785143; +91 9295246225;2;58;98;1420; 2022-07-04 13:43:50;delivered;Global Express Logistics Pvt. Ltd. - Bengaluru, Karnataka;;
50054;2001234; Ryan Sant; H.No. 75; Minhas Path; Jalandhar 158782; +91 7384985366; Bhavika Gole; H.No. 41; Pall Ganj; Berhampore-551245; +91 9535939858;2;21;64;2145; 2022-07-04 11:01:04;delivered;Global Express Logistics Pvt. Ltd. - Bengaluru, Karnataka;;
50055;2001235; Yashvi Manne; H.No. 140; Shankar; Khandwa-311339; +91 8485689110; Utkarsh Jani; H.No. 15; Rattan Street; Pudukkottai-022380; +91 6578428853;1;107;12;4064; 2022-07-03 07:34:47;delivered;Global Express Logistics Pvt. Ltd. - Bengaluru, Karnataka;;
50056;2001236; Ishanvi Thakkar; 07/365; Bajwa Street; Kulti 298014; +91 8407568338; Aadi Mitra; H.No. 574; Chokshi Street; Sonipat 535492; +91 7157952197;2;107;124;6561; 2022-07-02 19:22:06;delivered;Global Express Logistics Pvt. Ltd. - Bengaluru, Karnataka;;
